ID,Month,Day,Open,High,Low,Close,Avg
0,0.08333333333333333,0.03225806451612903,6767.6,6794.25,6755.0,6786.1,6775.737499999999
1,0.08333333333333333,0.06451612903225806,6792.4,6883.05,6792.4,6866.45,6833.575
2,0.08333333333333333,0.16129032258064516,6877.35,6913.25,6848.25,6857.45,6874.075
3,0.08333333333333333,0.1935483870967742,6817.65,6817.65,6646.4,6656.8,6734.624999999999
4,0.08333333333333333,0.22580645161290322,6653.65,6680.5,6605.4,6644.95,6646.125
5,0.08333333333333333,0.25806451612903225,6715.35,6758.25,6708.0,6755.45,6734.2625
6,0.08333333333333333,0.2903225806451613,6798.45,6811.3,6727.35,6783.0,6780.025
7,0.08333333333333333,0.3870967741935484,6790.6,6819.1,6763.2,6815.05,6796.9875
8,0.08333333333333333,0.41935483870967744,6835.25,6846.7,6777.7,6801.4,6815.262500000001
9,0.08333333333333333,0.45161290322580644,6810.2,6828.9,6759.55,6787.15,6796.449999999999
10,0.08333333333333333,0.4838709677419355,6897.15,6962.15,6870.95,6937.5,6916.9375
11,0.08333333333333333,0.5161290322580645,6945.1,6970.95,6913.35,6961.45,6947.712500000001
12,0.08333333333333333,0.6129032258064516,6988.3,7013.3,6984.45,6992.15,6994.549999999999
13,0.08333333333333333,0.6451612903225806,7013.15,7088.55,7013.15,7080.65,7048.875
14,0.08333333333333333,0.6774193548387096,7100.5,7117.0,7071.9,7099.6,7097.25
15,0.08333333333333333,0.7096774193548387,7111.65,7136.1,7092.95,7121.85,7115.637500000001
16,0.08333333333333333,0.7419354838709677,7176.0,7191.9,7137.45,7170.25,7168.9
17,0.08333333333333333,0.8709677419354839,7197.75,7236.8,7169.8,7229.05,7208.349999999999
18,0.08333333333333333,0.9032258064516129,7224.75,7290.45,7210.65,7241.55,7241.849999999999
19,0.08333333333333333,0.9354838709677419,7234.4,7264.55,7203.25,7257.25,7239.8625
20,0.08333333333333333,0.967741935483871,7293.25,7293.25,7140.15,7166.7,7223.337500000001
21,0.16666666666666666,0.06451612903225806,7164.6,7196.6,7142.0,7172.9,7169.025
22,0.16666666666666666,0.0967741935483871,7196.75,7203.75,7124.2,7137.45,7165.5375
23,0.16666666666666666,0.12903225806451613,7164.8,7164.8,7095.3,7108.75,7133.4125
24,0.16666666666666666,0.16129032258064516,7116.8,7176.7,7056.4,7076.65,7106.637500000001
25,0.16666666666666666,0.1935483870967742,7070.05,7087.2,7019.7,7029.45,7051.6
26,0.16666666666666666,0.2903225806451613,6973.35,6978.65,6915.45,6922.35,6947.450000000001
27,0.16666666666666666,0.3225806451612903,6889.25,7022.95,6888.05,6959.9,6940.0375
28,0.16666666666666666,0.3548387096774194,6990.45,7040.45,6990.35,7031.8,7013.2625
29,0.16666666666666666,0.3870967741935484,7071.15,7117.2,7032.2,7108.2,7082.1875
30,0.16666666666666666,0.41935483870967744,7134.1,7186.3,7129.8,7176.2,7156.6
31,0.16666666666666666,0.5161290322580645,7200.6,7227.05,7162.0,7175.0,7191.1625
32,0.16666666666666666,0.5806451612903226,7182.2,7242.45,7182.2,7228.55,7208.849999999999
33,0.16666666666666666,0.6129032258064516,7245.55,7258.95,7168.0,7242.85,7228.8375
34,0.16666666666666666,0.6451612903225806,7250.75,7250.75,7194.9,7209.4,7226.450000000001
35,0.16666666666666666,0.7419354838709677,7233.35,7237.15,7134.5,7147.55,7188.1375
36,0.16666666666666666,0.7741935483870968,7162.55,7171.45,7123.2,7146.6,7150.950000000001
37,0.16666666666666666,0.8064516129032258,7177.45,7204.75,7134.25,7144.2,7165.1625
38,0.16666666666666666,0.8387096774193549,7154.75,7154.75,7066.05,7077.5,7113.2625
39,0.16666666666666666,0.8709677419354839,7111.1,7217.05,7111.1,7210.3,7162.3875
40,0.16666666666666666,0.9032258064516129,7262.7,7273.1,7131.4,7239.45,7226.662499999999
